id,nameAr,nameEn,descriptionAr,descriptionEn,salaryRange,careerPath
CAR019,أخصائي نفسي,Psychologist,"يقيّم ويدعم الصحة النفسية للأفراد","Assesses and supports individuals' mental well-being",7000-13000 SAR/month,Counselor -> Licensed Psychologist -> Clinical Director
CAR020,معلم,Teacher,"يخطط للدروس ويعلم الطلاب المواد الدراسية","Plans lessons and teaches students academic subjects",6000-11000 SAR/month,Teacher -> Senior Teacher -> Academic Supervisor
CAR021,مهندس معماري,Architect,"يصمم المباني ويشرف على تنفيذ المخططات المعمارية","Designs buildings and oversees execution of architectural plans",8500-16000 SAR/month,Junior Architect -> Architect -> Principal Architect
CAR022,مصمم جرافيك,Graphic Designer,"يصمم المواد البصرية والهوية البصرية للعلامات التجارية","Designs visual materials and brand identities",6000-12000 SAR/month,Junior Designer -> Designer -> Art Director
CAR023,صحفي,Journalist,"يجمع ويحرر الأخبار والمحتوى الإعلامي","Gathers and writes news and media content",6000-11000 SAR/month,Reporter -> Senior Reporter -> Editor
CAR024,كيميائي,Chemist,"يجري تجارب وتحاليل كيميائية في المختبرات","Conducts chemical experiments and lab analysis",7000-13000 SAR/month,Lab Chemist -> Senior Chemist -> Lab Manager
CAR025,أخصائي أحياء,Biologist,"يدرس الكائنات الحية ويجري أبحاثاً بيولوجية","Studies living organisms and conducts biological research",6500-12000 SAR/month,Research Assistant -> Biologist -> Research Lead
CAR026,مدير مشروع,Project Manager,"يخطط وينسق وينفذ المشاريع ضمن الوقت والميزانية المحددة","Plans, coordinates, and delivers projects on time and budget",9000-17000 SAR/month,Coordinator -> Project Manager -> Program Director
CAR027,محلل بيانات,Data Analyst,"يجمع ويحلل البيانات لدعم اتخاذ القرار","Collects and analyzes data to support decision-making",8000-15000 SAR/month,Analyst -> Senior Analyst -> Data Science Manager
CAR028,مهندس أنظمة تقنية المعلومات,IT Systems Engineer,"يدير وينفذ حلول البنية التحتية التقنية للمؤسسات","Manages and implements IT infrastructure solutions",8000-15000 SAR/month,Systems Engineer -> Senior Engineer -> IT Infrastructure Manager
