id,questionId,labelAr,labelEn,value
Q014-OPT3,Q014,محايد,Neutral,3.0
Q014-OPT4,Q014,أوافق,Agree,4.0
Q014-OPT5,Q014,أوافق بشدة,Strongly Agree,5.0
Q015-OPT1,Q015,استوديو تصميم أو بيئة إبداعية مرنة,A design studio or flexible creative environment,3.0
Q015-OPT2,Q015,بيئة عمل ذات قواعد صارمة وثابتة,"A strict, fixed-rule environment",1.0
Q015-OPT3,Q015,غير متأكد,Not Sure,0.0
Q016-OPT1,Q016,لا أوافق بشدة,Strongly Disagree,1.0
Q016-OPT2,Q016,لا أوافق,Disagree,2.0
Q016-OPT3,Q016,محايد,Neutral,3.0
Q016-OPT4,Q016,أوافق,Agree,4.0
Q016-OPT5,Q016,أوافق بشدة,Strongly Agree,5.0
Q017-OPT1,Q017,التطوع في خدمة المجتمع,Volunteering in community service,3.0
Q017-OPT2,Q017,تعليم شخص مهارة جديدة,Teaching someone a new skill,3.0
Q017-OPT3,Q017,تنظيم فعالية جماعية,Organizing a group event,2.0
Q017-OPT4,Q017,غير متأكد,Not Sure,0.0
Q018-OPT1,Q018,لا أوافق بشدة,Strongly Disagree,1.0
Q018-OPT2,Q018,لا أوافق,Disagree,2.0
Q018-OPT3,Q018,محايد,Neutral,3.0
Q018-OPT4,Q018,أوافق,Agree,4.0
Q018-OPT5,Q018,أوافق بشدة,Strongly Agree,5.0
Q019-OPT1,Q019,لا أوافق بشدة,Strongly Disagree,1.0
Q019-OPT2,Q019,لا أوافق,Disagree,2.0
Q019-OPT3,Q019,محايد,Neutral,3.0
Q019-OPT4,Q019,أوافق,Agree,4.0
Q019-OPT5,Q019,أوافق بشدة,Strongly Agree,5.0
Q020-OPT1,Q020,بيئة تعتمد على التواصل المباشر مع الناس,An environment based on direct interaction with people,3.0
Q020-OPT2,Q020,بيئة عمل منعزلة بعيدة عن التواصل المباشر,An isolated environment with little direct interaction,1.0
Q020-OPT3,Q020,غير متأكد,Not Sure,0.0
Q021-OPT1,Q021,لا أوافق بشدة,Strongly Disagree,1.0
Q021-OPT2,Q021,لا أوافق,Disagree,2.0
Q021-OPT3,Q021,محايد,Neutral,3.0
Q021-OPT4,Q021,أوافق,Agree,4.0
Q021-OPT5,Q021,أوافق بشدة,Strongly Agree,5.0
Q022-OPT1,Q022,إقناع الآخرين بفكرة أو مشروع,Persuading others about an idea or project,3.0
Q022-OPT2,Q022,بدء مشروع تجاري صغير,Starting a small business project,3.0
Q022-OPT3,Q022,تمثيل فريق في مفاوضات,Representing a team in negotiations,2.0
Q022-OPT4,Q022,غير متأكد,Not Sure,0.0
Q023-OPT1,Q023,لا أوافق بشدة,Strongly Disagree,1.0
Q023-OPT2,Q023,لا أوافق,Disagree,2.0
Q023-OPT3,Q023,محايد,Neutral,3.0
Q023-OPT4,Q023,أوافق,Agree,4.0
Q023-OPT5,Q023,أوافق بشدة,Strongly Agree,5.0
Q024-OPT1,Q024,لا أوافق بشدة,Strongly Disagree,1.0
Q024-OPT2,Q024,لا أوافق,Disagree,2.0
Q024-OPT3,Q024,محايد,Neutral,3.0
Q024-OPT4,Q024,أوافق,Agree,4.0
Q024-OPT5,Q024,أوافق بشدة,Strongly Agree,5.0
Q025-OPT1,Q025,بيئة عمل تنافسية وسريعة الإيقاع,"A competitive, fast-paced environment",3.0
Q025-OPT2,Q025,بيئة عمل هادئة وثابتة الإجراءات,A calm environment with fixed procedures,1.0
Q025-OPT3,Q025,غير متأكد,Not Sure,0.0
Q026-OPT1,Q026,لا أوافق بشدة,Strongly Disagree,1.0
Q026-OPT2,Q026,لا أوافق,Disagree,2.0
Q026-OPT3,Q026,محايد,Neutral,3.0
Q026-OPT4,Q026,أوافق,Agree,4.0
Q026-OPT5,Q026,أوافق بشدة,Strongly Agree,5.0
Q027-OPT1,Q027,تنظيم ملفات أو بيانات,Organizing files or data,3.0
Q027-OPT2,Q027,إعداد جدول أو ميزانية,Preparing a schedule or budget,3.0
Q027-OPT3,Q027,مراجعة تقرير للتأكد من دقته,Reviewing a report for accuracy,2.0
Q027-OPT4,Q027,غير متأكد,Not Sure,0.0
Q028-OPT1,Q028,لا أوافق بشدة,Strongly Disagree,1.0
Q028-OPT2,Q028,لا أوافق,Disagree,2.0
Q028-OPT3,Q028,محايد,Neutral,3.0
Q028-OPT4,Q028,أوافق,Agree,4.0
Q028-OPT5,Q028,أوافق بشدة,Strongly Agree,5.0
Q029-OPT1,Q029,لا أوافق بشدة,Strongly Disagree,1.0
Q029-OPT2,Q029,لا أوافق,Disagree,2.0
Q029-OPT3,Q029,محايد,Neutral,3.0
Q029-OPT4,Q029,أوافق,Agree,4.0
Q029-OPT5,Q029,أوافق بشدة,Strongly Agree,5.0
Q030-OPT1,Q030,بيئة عمل منظمة تعتمد على إجراءات واضحة,A structured environment with clear procedures,3.0
Q030-OPT2,Q030,بيئة عمل عشوائية ومتغيرة باستمرار,"A chaotic, constantly changing environment",1.0
Q030-OPT3,Q030,غير متأكد,Not Sure,0.0
